id,name,sex,profession,type
aa,Alisa Ahmann,2,2,1
ac,Alexia Cicard,2,2,1
ag,Antonio Greger,1,3,1
ah,AHZUMJOT,1,3,1
ak,Alina Katharina,2,99,1
al,Alyssa Lynch,2,99,1
am,Amilli,2,3,1
amg,Mercedes AMG,99,99,2
amk,AnnenMayKantereit,99,99,2
"an
",Anthony Molina,1,1,1
ap,Anais Pouliot,2,2,1
ar,Abril Raluy de Jong,2,99,1
asm,Anne Sophie Monrad,2,2,1
at,Akvile Trautmann,2,2,1
au,Audi,99,99,2
av,Alicia Valentina,2,2,1
ax,Axe,99,99,2
ay,ABOUTYOU,99,99,2
bas,Bastian Schweinsteiger,1,4,1
bc,Brice Calonne,1,2,1
be,Beatsteaks,99,3,1
bk,Brooke Dusek,2,2,1
bs,Briane Sahara,2,2,1
bst,Bonnie Strange,2,3,1
ca,Campino,1,3,1
car,Carmushka,2,5,1
cart,Cartier,99,99,2
cas,Casper,1,3,1
cb,Claire Berthier,2,2,1
cc,Crista Cober,2,2,1
cd,Caro Daur,2,2,1
ch,Chefket,1,3,1
chm,CHeads Magazine,99,99,2
cl,Caroline Lossberg,2,2,1
clr,Clelia Rochat,2,2,1
co,Cro,1,3,1
cod,Collectible Dry,99,99,2
cp,Christiano Palmeri,1,2,1
cr,Cristiano Ronaldo,1,4,1
cw,Charleen Weiss,2,2,1
dazn,DAZN,99,99,2
db,Daniel Bruehl,1,5,1
des,Desire,2,2,1
dfb,DFB,99,99,2
dhl,DHL,99,99,2
dhs,David Hugo Schmitz,1,5,1
dior,Dior,99,99,2
dn,Dirk Nowitzki,1,4,1
dp,Daria Pleggenkuhle,2,2,1
drg,Drangsal,1,3,1
ds,Daria Sememchenko,2,2,1
ea,Elias Ambuehl,1,4,1
eb,Enzo Brumm,1,2,1
ef,Emilie Frandsen,2,2,1
ej,Egle Jezepcikaite,2,2,1
ek,Eliud Kipchoge,1,4,1
em,Eniko Mihalik,2,2,1
emb,Elyas MBarek,1,5,1
emg,Eva Marisol Gutowski,2,5,1
ems,Emilia Schuele,2,5,1
es,Eva Staudinger,2,2,1
f1,Mercedes AMG F1 Team,99,99,2
fb,Felix Brummer,1,3,1
fc,Francisco Cipriano,1,2,1
fcb,FC Bayern Muenchen,99,99,2
fe,Frederic Eiden,1,1,1
gh,Georgie Hobday,2,2,1
gl,Galeries Lafayette,99,99,2
gu,Gustavo ,1,4,1
hb,Heslen Becker,2,2,1
